원본,요약,카테고리,요약 재분류
 다양한 먹거리 체험이 있었음합니다.,- 가족 단위 참가자가 많으니 가족이 함께 즐길 수 있는 체험부스를 더 확대해 운영해야 한다,가족친화행사,0
" 확실히 예전에 비해 많이 트렌드 해졌다고 느낀다.
기획부분에서 아쉽다고 느낌-> 비슷비슷하달까… 근데 트렌드 면에서는 잘 짚었다고 봄
나중에는 ""차별화""를 둔 축제 기획을 원한다.
비슷해지는 것보다 눈에 띄는게 좋으니까",- 행사를 개최해 주셔서 감사함,행사 평가,1
"5시 15분 공연 관광하고싶었으나
안내 미흡으로 위치만 찾아다니다 관광하지 못했다.
옷 만들기도 5시에 소진되어 하지 못했고
푸드트럭이 부족해보임.",- 축제 기획이 비슷비슷하지 않도록 차별화된 콘셉트와 눈에 띄는 프로그램으로 개선되어야 함,축제 운영 개선,2
가수 ,- 가족과 친척이 함께 어울리며 참여할 수 있는 프로그램과 행사 구성이 필요함,가족친화행사,3
"가수 출연가수 너무 부실함
정말 멀리서 걸어왔는데 가수가 저게 뭔가요?
양심 있나요?",- 가수의 공연이 인상적이어서 행사의 만족도를 높였음,행사 평가,4
가족or친척 함께 어울릴 수 있는 행사,- 출연 가수가 매우 부실해 공연이 기대에 크게 못 미쳤다,축제 운영 개선,5
가족단위 참여가 많기 때문에 체험부스 늘렸으면 좋겠다,- 공연 위치 및 안내가 부족해 제시간에 공연을 찾지 못해 관람하지 못했다.,행사장 편의시설,6
개최해주셔서 감사합니다.,- 다양한 먹거리 체험이 제공되어 방문객들이 다양한 음식을 즐길 수 있었음,가족친화행사,7
공연관람시 의자시설을 더욱 보완해주시면 좋을것 같습니다.,- 행사 장소인 공장이 공간이 좁아 많은 인원이 참여하기에는 불편하므로 더 넓은 장소 확보나 참여인원 조정이 필요함,행사장 편의시설,8
공장에서 진행된다고 하지만 많은 인원이 참여하기엔 다소 협소하다.,- 공연 관람 시 관객 편의를 위해 좌석 수와 편의성을 개선하여 의자 시설을 보완해야 함,행사장 편의시설,9
교통이 편이한 곳에서 했으면 좋겠어요.,- 행사 장소는 대중교통과 접근성이 좋은 곳으로 선정해 참가자의 이동 편의를 개선해야 함,행사장 편의시설,10
"교통편, 주차시설",- 교통편과 주차시설이 부족해 행사장 접근과 이용이 불편했으므로 개선이 필요함,교통편의,11
"구미에는 어린이 가족이 많은데 어린이들과 함께 체험가능한 프로그램이
더 많았으면 좋겠습니다.",- 우천 시에도 행사 참여가 가능하도록 실내 프로그램과 대체 이벤트를 더 확충할 필요가 있음,축제 운영 개선,12
"구미에는 자녀동반 가족이 많은데 
그에비해 체험프로그램 부족.",- 어린이와 가족이 함께 참여할 수 있는 체험형 프로그램을 더 확대해야 한다.,가족친화행사,13
기상악화시 대비 필요해보임 (당일 비로 인해 매우 불편),- 전반적인 행사 내용과 운영에 대해 매우 만족했음,행사 평가,14
날씨(우천시) 대비 실내프로그램 좀 더 많았으면 좋겠습니다.,- 남녀노소 모두가 함께 즐길 수 있는 프로그램과 즐길거리를 추가해 달라,가족친화행사,15
"날씨에 대한, 또는 주차 및 ??? 자세한 안내가 필요.",- 구미는 자녀 동반 가족이 많으므로 가족이 함께 참여할 수 있는 체험 프로그램을 더 확대할 필요가 있음,가족친화행사,16
남녀노소 같이 즐길수 있는 즐길거리를 좀 만드셨으면 좋겠습니다.,- 기상 악화에 대비한 우천 대책(천막·대체공간·안내 등)과 운영 계획을 마련해야 함,축제 운영 개선,17
너무 좋았음,- 행사 전 날씨 대비와 주차 등 방문에 필요한 정보를 사전에 자세히 안내할 필요가 있음,교통편의,18
너무좋아요,- 노면 상태가 좋지 않아 장애인 휠체어 이용에 큰 불편이 있었음,행사장 편의시설,19
"노면이 좋지 않아 장애인 휠체어 불편함.
화장실은 만족.",- 전반적으로 매우 만족하여 행사 운영과 프로그램에 대해 긍정적으로 평가함,행사 평가,20
놀이 시설이 조금 더 있으면 좋겠다.,- 어린아이들과 함께 참여할 수 있는 다양한 체험부스를 더 늘려 달라,가족친화행사,21
다른 폐공장을 적극적으로 활용,- 다른 폐공장을 적극적으로 활용해 행사 장소를 다양화하고 공간 활용도를 높일 필요가 있음,가족친화행사,22
다양한 참여 프로그램이 있으면 좋을거 같아요.,- 다양한 연령층이 참여할 수 있는 프로그램을 확대해 방문자의 참여 기회를 늘릴 필요가 있음,가족친화행사,23
다양한 체험 거리가 있었으면 좋겠습니다.,- 놀이 시설이 부족하니 다양한 놀이 시설을 더 확충해 주었으면 좋겠다.,가족친화행사,24
다양한 체험부스가 더 생겼으면 합니다. 어린아이들과 함께 할 수 있는…,- 방문객 참여를 늘리기 위해 다양한 체험 부스를 더 많이 마련해야 함,가족친화행사,25
다양한 체험부스가 많았음 좋겠습니다.,- 다양한 프로그램이 운영되어 볼거리와 참여 기회가 풍부했음,축제 운영 개선,26
다양한 프로그램 운행 했음,- 다양한 체험 거리가 부족하니 참가자가 선택할 수 있도록 체험 프로그램을 확대·다양화해 달라.,가족친화행사,27
"다양한 프로그램이 부족하다.
식사, 여흥 등",- 식사·여흥 등 다양한 프로그램이 부족해 관람객을 위한 먹거리와 여가 프로그램을 확대할 필요가 있음,가족친화행사,28
